TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Atlanta Hawks,5,1,4,0.2,48.0,40.6,94.6,0.429,13.8,43.4,0.318,16.4,21.2,0.774,11.4,31.8,43.2,29.6,11.4,9.8,3.8,5.2,19.8,18.0,111.4,-11.2,1,25,25,25,4,17,2,30,15,2,26,19,22,19,12,15,16,7,4,3,26,19,20,21,19,28
Boston Celtics,5,2,3,0.4,48.0,39.6,89.2,0.444,14.6,42.2,0.346,15.2,18.0,0.844,12.4,37.4,49.8,21.2,13.2,7.0,4.6,4.4,17.4,16.4,109.0,4.6,1,18,18,18,4,27,14,26,9,6,19,23,25,3,6,1,2,30,12,21,14,13,5,29,25,7
Brooklyn Nets,5,1,4,0.2,48.0,40.4,87.2,0.463,15.0,39.0,0.385,14.0,17.0,0.824,9.6,30.2,39.8,27.6,12.2,5.2,4.4,5.8,18.8,15.2,109.8,-7.8,1,25,25,25,4,20,20,17,7,11,9,26,28,6,23,24,27,12,5,29,17,23,15,30,24,24
Charlotte Hornets,5,3,2,0.6,48.0,46.6,92.8,0.502,16.2,42.6,0.38,14.6,17.6,0.83,14.6,37.4,52.0,30.0,13.2,5.0,4.0,3.6,19.4,18.8,124.0,13.6,1,7,7,7,4,2,4,8,5,5,12,25,27,5,3,1,1,6,12,30,22,6,19,13,2,2
Chicago Bulls,5,3,2,0.6,48.0,46.0,91.6,0.502,17.0,41.6,0.409,13.4,17.0,0.788,10.0,32.0,42.0,33.8,9.8,8.6,6.8,3.4,17.0,16.6,122.4,8.6,1,7,7,7,4,3,5,7,2,7,5,27,28,16,21,13,19,2,2,10,3,5,4,28,4,6
Cleveland Cavaliers,5,3,2,0.6,48.0,44.8,91.0,0.492,15.4,37.4,0.412,17.4,21.6,0.806,11.0,30.8,41.8,34.0,15.8,8.2,4.6,6.0,18.4,17.4,122.4,-0.6,1,7,7,7,4,6,8,9,6,15,4,15,19,10,15,21,20,1,26,13,14,26,13,24,4,17
Dallas Mavericks,5,4,1,0.8,48.0,45.6,89.6,0.509,14.4,37.4,0.385,18.0,26.4,0.682,10.2,34.4,44.6,28.4,12.2,9.0,4.0,4.2,18.8,22.2,123.6,11.2,1,1,1,1,4,4,12,4,12,15,8,13,3,28,20,6,10,10,5,6,22,10,15,1,3,4
Denver Nuggets,5,3,2,0.6,48.0,39.8,84.0,0.474,13.4,36.6,0.366,18.0,22.8,0.789,5.8,28.0,33.8,24.8,8.4,6.4,4.0,3.2,21.4,18.8,111.0,-2.0,1,7,7,7,4,25,28,13,16,17,16,13,14,13,30,30,30,22,1,25,22,3,30,13,20,20
Detroit Pistons,5,4,1,0.8,48.0,40.0,87.4,0.458,11.2,33.8,0.331,15.4,22.4,0.688,10.8,35.6,46.4,27.4,15.6,12.4,8.6,5.8,21.2,19.6,106.6,11.2,1,1,1,1,4,22,19,21,24,21,24,22,17,27,16,4,4,14,24,1,1,23,29,10,27,4
Golden State Warriors,5,4,1,0.8,48.0,47.4,91.4,0.519,21.2,49.6,0.427,12.6,16.4,0.768,9.0,30.0,39.0,32.0,14.2,9.8,4.4,2.6,18.0,18.4,128.6,12.0,1,1,1,1,4,1,6,2,1,1,2,29,30,20,25,25,29,4,19,3,17,1,9,18,1,3
Houston Rockets,5,4,1,0.8,48.0,41.4,89.8,0.461,9.8,27.8,0.353,17.4,24.8,0.702,13.6,34.8,48.4,22.2,13.6,7.8,5.4,6.4,15.2,18.8,110.0,1.0,1,1,1,1,4,14,11,18,29,30,18,15,7,26,5,5,3,28,17,17,7,28,2,13,22,14
Indiana Pacers,5,2,3,0.4,48.0,38.4,86.8,0.442,12.8,38.2,0.335,12.0,18.0,0.667,10.0,33.4,43.4,26.8,15.8,7.2,5.6,4.2,18.0,17.2,101.6,-11.2,1,18,18,18,4,29,22,27,18,13,22,30,25,30,21,10,13,15,26,19,6,10,9,25,30,28
LA Clippers,5,4,1,0.8,49.0,40.0,84.8,0.472,12.0,36.0,0.333,23.4,26.6,0.88,9.0,30.4,39.4,23.2,12.6,9.2,3.8,5.6,15.4,18.4,115.4,0.4,1,1,1,1,1,22,27,15,22,20,23,1,1,1,25,23,28,26,7,5,26,22,3,18,13,15
Los Angeles Lakers,5,3,2,0.6,48.0,43.2,85.8,0.503,14.0,32.8,0.427,19.4,24.6,0.789,9.6,32.0,41.6,25.6,13.6,5.4,4.2,4.6,18.4,19.4,119.8,3.2,1,7,7,7,4,9,26,6,14,23,3,5,8,15,23,13,21,20,17,28,20,15,13,11,9,9
Memphis Grizzlies,5,2,3,0.4,48.0,40.6,88.4,0.459,13.4,36.6,0.366,16.2,20.4,0.794,12.4,34.0,46.4,28.6,15.6,7.2,5.2,5.8,17.6,18.2,110.8,-1.0,1,18,18,18,4,17,16,19,16,17,16,21,23,12,6,7,4,9,24,19,10,23,6,20,21,18
Miami Heat,5,3,2,0.6,48.0,42.8,97.4,0.439,16.4,43.4,0.378,19.0,25.0,0.76,14.8,31.6,46.4,29.2,11.0,6.8,2.4,3.8,18.8,20.0,121.0,-1.4,1,7,7,7,4,11,1,28,3,2,14,7,6,22,2,18,4,8,3,22,30,7,15,5,7,19
Milwaukee Bucks,5,2,3,0.4,48.0,38.0,83.0,0.458,14.4,37.6,0.383,15.2,21.6,0.704,9.0,31.8,40.8,25.8,14.8,8.2,4.4,3.0,18.0,17.8,105.6,-9.8,1,18,18,18,4,30,29,20,12,14,11,23,19,25,25,15,22,18,20,13,17,2,9,22,29,26
Minnesota Timberwolves,5,2,3,0.4,48.0,43.4,90.4,0.48,14.6,38.4,0.38,17.2,25.4,0.677,12.0,33.2,45.2,26.2,12.6,8.8,5.8,3.8,20.2,20.2,118.6,4.2,1,18,18,18,4,8,9,11,9,12,13,17,5,29,11,11,9,17,7,8,4,7,24,4,10,8
New Orleans Pelicans,5,1,4,0.2,48.0,42.6,86.6,0.492,11.8,29.0,0.407,18.8,23.2,0.81,11.4,30.8,42.2,24.2,12.6,6.6,5.8,4.4,17.6,18.6,115.8,-6.0,1,25,25,25,4,12,23,10,23,28,6,10,12,8,12,21,18,23,7,23,4,13,6,17,12,23
New York Knicks,5,1,4,0.2,48.0,40.4,93.4,0.433,12.4,40.0,0.31,13.4,19.0,0.705,15.0,31.2,46.2,25.0,13.4,8.8,5.0,5.0,20.0,17.2,106.6,-7.8,1,25,25,25,4,20,3,29,21,9,29,27,24,24,1,19,8,21,15,8,12,18,21,25,27,24
Oklahoma City Thunder,5,4,1,0.8,48.0,44.4,86.0,0.516,14.6,36.2,0.403,18.6,23.6,0.788,7.4,36.0,43.4,25.8,12.8,8.4,8.0,4.6,20.0,20.6,122.0,16.6,1,1,1,1,4,7,25,3,9,19,7,11,11,17,29,3,13,18,11,11,2,15,21,2,6,1
Orlando Magic,5,3,2,0.6,49.0,40.6,91.2,0.445,9.8,31.8,0.308,19.0,22.0,0.864,14.6,31.8,46.4,26.8,16.6,8.2,5.4,7.2,17.6,19.8,110.0,-2.2,1,7,7,7,1,17,7,25,29,27,30,7,18,2,3,15,4,15,29,13,7,30,6,6,22,21
Philadelphia 76ers,5,2,3,0.4,48.0,39.8,87.0,0.457,11.2,32.4,0.346,21.2,26.2,0.809,12.4,28.4,40.8,22.8,13.4,10.8,5.2,4.6,18.0,19.2,112.0,-2.4,1,18,18,18,4,25,21,22,24,25,20,2,4,9,6,28,22,27,15,2,10,15,9,12,18,22
Phoenix Suns,5,3,2,0.6,48.0,39.6,88.0,0.45,16.4,42.8,0.383,19.2,23.0,0.835,12.4,28.2,40.6,23.8,14.8,8.4,3.6,4.2,21.0,19.8,114.8,2.6,1,7,7,7,4,27,18,23,3,4,10,6,13,4,6,29,24,24,20,11,28,10,27,6,15,11
Portland Trail Blazers,5,3,2,0.6,48.0,40.8,86.2,0.473,12.8,41.2,0.311,21.0,26.6,0.789,10.8,33.8,44.6,21.8,16.4,9.0,4.6,5.4,14.8,20.4,115.4,1.6,1,7,7,7,4,16,24,14,18,8,28,3,1,13,16,8,10,29,28,6,14,20,1,3,13,12
Sacramento Kings,5,3,2,0.6,48.0,43.2,82.0,0.527,12.8,29.0,0.441,19.0,24.2,0.785,9.0,33.8,42.8,27.6,16.6,5.8,4.8,3.2,20.8,17.2,118.2,3.2,1,7,7,7,4,9,30,1,18,28,1,7,10,18,25,8,17,12,29,26,13,3,26,25,11,9
San Antonio Spurs,5,3,2,0.6,48.0,41.2,88.4,0.466,14.8,40.0,0.37,17.2,22.8,0.754,10.8,32.8,43.6,28.0,12.6,6.6,5.4,6.2,20.2,19.8,114.4,1.6,1,7,7,7,4,15,16,16,8,9,15,17,14,23,16,12,12,11,7,23,7,27,24,6,16,12
Toronto Raptors,5,2,3,0.4,49.0,42.4,89.0,0.476,11.0,32.8,0.335,18.6,22.8,0.816,11.4,29.2,40.6,32.2,13.2,5.8,4.0,3.8,20.0,19.8,114.4,-0.4,1,18,18,18,1,13,15,12,26,23,21,11,14,7,12,27,24,3,12,26,22,7,21,6,16,16
Utah Jazz,5,1,4,0.2,48.0,45.4,90.0,0.504,10.6,32.2,0.329,19.6,24.6,0.797,10.8,29.8,40.6,31.0,15.2,8.2,2.8,6.4,21.0,18.8,121.0,-10.0,1,25,25,25,4,5,10,5,27,26,25,4,8,11,16,26,24,5,22,13,29,28,27,13,7,27
Washington Wizards,5,0,5,0.0,48.0,40.0,89.6,0.446,10.4,33.4,0.311,16.4,21.4,0.766,12.4,31.0,43.4,23.4,15.2,7.8,4.2,5.4,18.8,17.8,106.8,-11.2,1,30,30,30,4,22,12,24,28,22,27,19,21,21,6,20,13,25,22,17,20,20,15,22,26,28
